,id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
16754,768787825,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Piękne, nowoczesne mieszkanie 3 pokojowe",2600.0,PLN,,yes,blok,49,three,
16755,768783410,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie 33m ul. Głowackiego,1200.0,PLN,,yes,blok,33,two,
16759,768778865,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie Osowa góra 3 pokoje,1800.0,PLN,Parter,yes,blok,65,three,700
16760,768766566,Kruszwica,kruszwica,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie 2 pokojowe,1500.0,PLN,1,no,blok,54,two,550
16761,768763770,Toruń,torun,,Kujawsko-pomorskie,kujawsko-pomorskie,"Toruń, Podgórz, 38m2, 1pietro",1500.0,PLN,1,yes,blok,38,two,270
16762,768744934,Inowrocław,inowroclaw,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie 2-pokojowe, umeblowane, Inowrocław, Rąbin",1350.0,PLN,3,yes,blok,32,two,20
16763,768733822,Brodnica,brodnica,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie umeblowane,1500.0,PLN,Parter,yes,wolnostojacy,45,two,490
16764,736617554,Świecie,swiecie,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie Świecie,1300.0,PLN,Parter,yes,szeregowiec,63,three,120
16765,768723482,Radzyń Chełmiński,radzyn-chelminski,,Kujawsko-pomorskie,kujawsko-pomorskie,Kawalerka 28m2 po kapitalnym renocie,650.0,PLN,4,no,kamienica,28,one,460
16766,767314585,Włocławek,wloclawek,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie,1500.0,PLN,1,no,blok,50,two,375
16767,729002819,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Wynajmę mieszkanie M3 z balkonem,  Szwederowo z garażem",2500.0,PLN,Parter,yes,blok,42,two,1
16768,761082304,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,Wynajmę mieszkanie w centrum Bydgoszczy - 2 pokoje 55 metrów,1300.0,PLN,1,yes,kamienica,55,two,450
16769,770404271,Grudziądz,grudziadz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Mieszkanie do wynajęcia Grudziądz, Nowy Rządz, 52m2",1000.0,PLN,Parter,yes,blok,52,two,10
16770,678353364,Kruszwica,kruszwica,,Kujawsko-pomorskie,kujawsko-pomorskie,Mieszkanie w centrum Kruszwicy wynajem !!!,1300.0,PLN,3,no,pozostale,56,three,500
16771,769195798,Bydgoszcz,bydgoszcz,,Kujawsko-pomorskie,kujawsko-pomorskie,"Bydgoszcz, 2-pokojowe mieszkanie wynajmę, 50m2",1300.0,PLN,1,yes,blok,50,two,512
